BOTTLE,20080509JAMSTEC
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDDPT,CTDDPT_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,FLUOR,FLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLWELSH,CHLWELSH_W,PPHYTN,PPHYTN_FLAG_W,XMISS,XMISS_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PH,PH_FLAG_W,PH_TMP,PH_SCALE,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,M,,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UG/L,,MG/CUM,,MG/CUM,,MG/CUM,,%TRANS,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,25_DEG,,DEG_C,,DEG C,KG/CUM
     49MR02K01, EQPAC,  C014,1,24,24,1,20020123,1509,-0.0002,-160.002,5164,60,2,61,2,27.782,2,35.437,2,-999,9,180.5,2,-999,9,0.6,1,0.24,2,0.32,2,0.21,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.77,22.8
     49MR02K01, EQPAC,  C014,2,0,0,1,20020123,2204,0,-160.0003,5164,-999,9,-999,9,27.9,2,-999,9,35.454,2,-999,9,196.31,2,-999,9,0.16,2,0.2,2,0.09,2,-999,9,1.96,2,3.93,2,0.51,2,0.49,2,2014.4,6,8.0508,6,25, TS,-999,-999
     49MR02K01, EQPAC,  C014,2,1,1,1,20020123,2204,0,-160.0003,5164,11,2,11,2,27.906,2,35.435,2,35.444,2,181.66,2,195.9,2,0.2,1,0.15,2,0.19,2,0.09,2,87,1,1.92,2,3.94,2,0.5,2,0.48,2,2015.4,2,8.0515,2,25, TS,27.9,22.75
     49MR02K01, EQPAC,  C014,2,2,2,1,20020123,2204,0,-160.0003,5164,21,2,21,2,27.902,2,35.434,2,35.443,2,181.95,2,196.47,2,0.3,1,0.16,2,0.19,2,0.1,2,87,1,1.93,2,3.94,2,0.5,2,0.48,2,2014.5,2,8.0515,2,25, TS,27.9,22.76
     49MR02K01, EQPAC,  C014,2,3,3,1,20020123,2204,0,-160.0003,5164,30,2,30,2,27.896,2,35.434,2,35.442,2,181.77,2,196.77,2,0.4,1,0.16,2,0.19,2,0.1,2,87,1,1.95,2,3.97,2,0.5,2,0.47,2,2028,3,8.0514,2,25, TS,27.89,22.76
     49MR02K01, EQPAC,  C014,2,4,4,1,20020123,2204,0,-160.0003,5164,42,2,42,2,27.881,2,35.433,2,35.441,2,181.49,2,195.41,2,0.5,1,0.16,2,0.2,2,0.1,2,87,1,1.93,2,3.99,2,0.51,2,0.48,2,2011,2,8.0507,2,25, TS,27.87,22.76
     49MR02K01, EQPAC,  C014,2,5,5,1,20020123,2204,0,-160.0003,5164,51,2,51,2,27.861,2,35.435,2,35.444,2,181.43,2,195.75,2,0.6,1,0.24,2,0.3,2,0.16,2,87,1,1.92,2,4.04,2,0.52,2,0.49,2,2015.4,2,8.0496,2,25, TS,27.85,22.77
     49MR02K01, EQPAC,  C014,2,6,6,1,20020123,2204,0,-160.0003,5164,60,2,60,2,27.796,2,35.438,2,35.447,2,180.81,2,195.87,2,0.7,1,0.21,2,0.27,2,0.15,2,87,1,1.98,2,4.22,2,0.53,2,0.51,2,2015,2,8.0475,2,25, TS,27.78,22.8
     49MR02K01, EQPAC,  C014,2,7,7,1,20020123,2204,0,-160.0003,5164,70,2,71,2,27.654,2,35.443,2,35.456,2,181.17,2,194.6,2,0.6,1,0.2,2,0.26,2,0.16,2,87,1,2.02,2,4.38,2,0.55,2,0.53,2,2020.8,2,8.0433,2,25, TS,27.64,22.85
     49MR02K01, EQPAC,  C014,2,8,8,1,20020123,2204,0,-160.0003,5164,81,2,81,2,27.569,2,35.439,2,35.447,2,181.22,2,194.79,2,0.5,1,0.03,3,0.26,2,0.48,3,88,1,2.08,2,4.58,2,0.53,2,0.55,2,2024.5,2,8.0397,2,25, TS,27.55,22.87
